Bad	Good
hypertrphy	hypertrophy
hypetrophy	hypertrophy
hyptrophy	hypotrophy
i9schemia	ischemia
ianterolateral	anterolateral
ibbb	incomplete right bundle branch block
ichemia	ischemia
iconsider	consider
idioventrcular	idioventricular
ievident	evident
iincomplete	incomplete
iindex	index
iinfarct	infarct
ilbbb	incomplete right bundle branch block
imferior	inferior
impoved	improved
improprer	improper
improvd	improve
imptroved	improved
inafarct	infarct
inarct	infarct
inceased	increased
incomp	incomplete
incrased	increased
increaed	increased
increasd	increased
increasded	increased
incresad	increased
incresed	increased
inderminate	indeterminate
inderterminate	indeterminate
indeteminent	indeterminant
indeterm	indeterminate
indetermiante	indeterminate
indeterminaate	indeterminate
indeterminante	indeterminate
indetermine	indeterminate
indeterminent	indeterminate
indeterminzte	indeterminate
indetermitate	indeterminate
indexd	indeed
indez	index
indioventricular	idioventricular
inermittently	intermittently
inerpretiaon	inerpretation
infacrt	infarct
infaerct	infarct
infarcgt	infarct
infarcrt	infarct
infarcrtion	infarction
infarctst	infarct st
infart	infarct
infartc	infarct
infeior	inferior
infeolateral	inferolateral
infereior	inferior
infereolateral	inferolateral
infereres	interferes
inferiolatateral	inferolateral
inferiolateral	inferolateral
inferioposterior	inferoposterior
inferiorinfarct	inferior infarct
inferiorlateral	inferolateral
inferioseptal	inferoseptal
inferiro	inferior
inferlateral	inferolateral
inferlolateral	inferolateral
inferolater	inferolateral
inferolatera	inferolateral
inferolaterals	inferolateral
inferolaterl	inferolateral
inferoopsterior	inferoposterior
inferoposterio	inferoposterior
inferor	inferior
inferposterior	inferoposterior
inferrolateral	inferolateral
inferropoeaterior	inferoposterior
infersion	inversion
infqrct	infarct
infreior	inferior
infrnodal	infranodal
infweior	inferior
inhibittion	inhibition
inhibtion	inhibition
initerval	interval
injurhy	injury
innferolateral	inferolateral
innversion	inversion
inomplete	incomplete
inreased	increased
inschemia	ischemia
insteads	instead
intemittent	intermittent
interal	internal
intercal	internal
interdeterminate	indeterminate
interferrence	interference
intermirttentsupraventricular	intermirttent supraventricular
intermitant	intermittent
intermitent	intermittent
intermitteltly	intermittently
intermitten	intermittent
internittent	intermittent
interolateral	anterolateral
interoretation	interpretation
interpet	interpret
interpetation	interpretation
interpreation	interpretation
interprentation	interpretation
interpretatoin	interpretation
interpretion	interpretation
interpretntation	interpretation
interterminant	intermittent
interva	interval
intervaland	interval and
intervdal	interval
interventicular	intraventricular
intervetnricular	intraventricular
intervions	interventions
intervls	intervals
intiial	initial
intrarventricular	intraventricular
intravenettricular	intraventricular
intraventicular	intraventricular
intraventrciular	intraventricular
intraventricualr	intraventricular
intraventriculaar	intraventricular
intraventriular	intraventricular
intreptation	interpretation
intrinisic	intrinsic
intrpretation	interpretation
intrval	interval
intvls	intervals
inverion	inversion
inverrted	inverted
inversinos	inversions
inversio	inversion
inversiom	inversion
inversionn	inversion
inversionsince	inversion since
inversis	inversus
inversoin	inversion
invertedsince	inverted since
invrsions	invasions
irbb	incomplete right bundle branch block
irrecular	irregular
irregurlar	irregular
ischeia	ischemia
ischema	ischemia
ischemialvh	ischemia left ventricular hypertrophy
ischemianow	ischemia now
ischemima	ischemia
ischemka	ischemia
ischmia	ischemia
ischmic	ischemic
isfchemia	ischemia
ishcemia	ischemia
ishemia	ischemia
isnew	is new
isoated	isolated
isolectric	isoelectric
isolted	isolated
iterpretation	interpretation
itnerval	interval
iversion	inversion
ivxcd	intraventricular conduction delay
iwth	with
jucnctional	junctional
juctional	junctional
juinctional	junctional
juncitonal	junctional
juncntional	junctional
junctinoal	junctional
junctiona	junctional
junctionsl	junctions
juntional	junctional
jxnal	junctional
LAA	left atrial abnormality
LAE	left atrial enlargement
lareral	lateral
latearl	lateral
lateraland	lateral and
lateraly	laterally
laterl	lateral
latreral	lateral
LDS	leads
leades	leads
leaed	lead
leafd	lead
leaft	left
leards	leads
leeads	leads
leess	less
lefft	left
leftatrial	left atrial
leftaxis	left axis
leftwards	leftward
leftwared	leftward
lefward	leftward
lelads	leads
lenghtened	lengthened
lengthend	lengthened
lengthended	lengthened
leqds	leads
lesss	less
liimts	limits
likdly	likely
likelyl	likely
limbl	limb
limd	limb
limg	limb
limib	limb
limites	limited
lkiely	likely
lleads	leads
lleft	left
loarge	large
logner	longer
lomb	long
lonegr	longer
longeer	longer
longers	longer
longert	longer
lonnger	longer
lowere	lower
lowrr	lower
LPFB	left posterior fascicular block
lphb	left posterior hemiblock
lrhythm	rhythm
lsensed	sensed
lteral	lateral
lvcd	left ventricular condution delay
lvot	left ventricular outflow track
mareked	marked
markely	markedly
meachanism	mechanism
metabollic	metabolic
midprecodium	midprecordium
midprecroridal	midprecordial
mildy	mild
mimicing	mimicking
minial	minimal
minimial	minimal
minimumu	minimum
minornonspecific	minor nonspecific
minues	minutes
miplaced	misplaced
mispacement	misplacement
misplacemet	misplacement
misplcement	misplacement
moare	more
mobtiz	Mobitz
montion	mention
mored	more
morpholog	morphology
morpohology	morphology
morpology	morphology
mproved	improved
mulitple	multiple
multipe	multiple
multipel	multiple
multipleatrial	multiple atrial
multple	multiple
mutiple	multiple
mutlifocal	multifocal
mutliple	multiple
myopath	myopathy
narror	narrow
narroww	narrow
naterior	anterior
nbow	now
ncreased	increased
nechanism	mechanism
njury	injury
nmew	new
noew	now
nolonger	no longer
nomalized	normalized
nondiagnosgic	nondiagnostic
nondiagnosic	nondiagnostic
nonidagnostic	nondiagnostic
nonospecific	nonspecific
nonpecific	nonspecific
nonscpecific	nonspecific
nonsepcific	nonspecific
nonsinus	non-sinus
nonspecifc	nonspecific
nonspecifict	nonspecific
nonspecifit	nonspecific
nonspeciifc	nonspecific
nonspeciific	nonspecific
nonspeicifc	nonspecific
nonspeific	nonspecific
nontranmural	nontransmural
noraml	normal
normaized	normalized
normaliized	normalized
normallized	normalized
normalzed	normalized
normla	normal
normsl	normal
norrmal	normal
nospecific	nonspecific
notd	noted
noteed	noted
notmal	normal
nowpresent	now present
npattern	pattern
nrmalized	normalized
nsicvd	nonspecific intraventricular conduction delay
nsivcd	nonspecific intraventricular conduction delay
nsst	nonspecific st
nsstt	nonspecific st t
nssttwc	nonspecific st t wave changes
nssttws	nonspecific st t wave changes
nstt	nonspecific st t
nsttw	nonspecific st t wave
nstw	nonspecific t wave
nterior	interior
nteroseptal	anteroseptal
ntoed	noted
ocasional	occasional
occaisonal	occasional
occasioanl	occasional
occasiona	occasional
occassionally	occasional
occassionl	occasional
occcasional	occasional
occlu	occlude
occsasional	occasional
ocnducted	conducted
ompared	compared
onospecific	monospecific
onrmal	normal
oppsosed	opposed
orderline	borderline
originr	origin
orign	origin
osition	position
osterior	posterior
otherwis	otherwise
othewise	otherwise
othewrise	otherwise
othr	other
othrewise	otherwise
pacedl	paced
pacign	pacing
pacigng	pacing
pacin	pacing
pacinf	pacing
pacingis	pacing is
pacings	pacing
pacingsince	pacing since
pacinng	pacing
pafib	paroxysmal atrial fibrillation
paing	pacing
paramters	parameters
paremeters	parameters
pateint	patient
patteern	pattern
pattery	pattern
pcing	pacing
pcvs	premature ventricualr contractions
pecordial	precordial
peformed	performed
peominent	prominent
percordial	precordial
perhaos	perhaps
pericafrditis	pericarditis
pericardiitis	pericarditis
pericardits	pericarditis
pericareditis	pericarditis
pericrditis	pericarditis
perissts	persists
peronounced	pronounced
persent	present
persiste	persistent
persisten	persistent
pfesent	present
phneomenon	phenomenon
piror	prior
placemen	placement
placemet	placement
placemetn	placement
placemnet	placement
placenent	placement
placent	placement
placewment	placement
placment	placement
plaecment	placement
plascment	placement
pleacement	placement
plscement	placement
pobable	probable
pogression	progression
pominent	prominent
pooor	poor
poort	poor
porbable	probable
porgression	progression
porlongation	prolongation
porminent	prominent
posbily	possibly
posibly	possibly
possbile	possible
possble	possible
possib	possible
possibel	possible
possiblelvh	possible left ventricular hypertrophy
possibletracing	possible tracing
possibley	possible
possiby	possibly
possiible	possible
possilbe	possible
possinle	possible
posslbe	possibe
posssible	possible
posssibly	possibly
posteiror	posterior
pprobably	probably
prabable	probable
prbably	probably
prcordial	precordial
preamture	premature
precence	presence
precodial	precordial
precordially	precordial
precordiam	precordial
precorial	precordial
precortial	precordial
predominanly	predominantly
predominantvariable	predominant variable
predominently	predominantly
preecitation	preexcitation
preent	present
preexcitations	preexcitation
preexcitatoin	preexcitation
prematue	premature
prematuer	premature
presdent	present
presednt	present
preseent	present
presen	present
presenntn	present
presentg	presenting
presentin	presenting
presenty	presently
presesnt	present
presetn	present
presetna	present
presetnt	present
presnet	present
presordial	precordial
presrent	present
preswent	present
previoius	previous
previosly	previously
previosu	previous
previouslt	previously
previoust	previous
prevvious	previous
prexcitation	preexcitation
prgression	progression
pricordial	primordial
prio	prior
priolr	prior
priominent	prominent
priorafib	prior atrial fibrillation
priord	prior
priorecg	prio ECG
priort	prior
priortracing	prior tracing
priot	prior
prir	prior
priro	prior
priror	prior
prlongation	prolongation
prlonged	prolonged
proabable	probable
proable	probable
proably	probably
probabble	probable
probabel	probable
probabke	probable
probablejunctional	probable junctional
probableventricular	probable ventricular
probablre	probable
probalbe	probable
probalby	probably
probbale	probable
probbaly	probably
probbly	probably
problonged	prolonged
probzbly	probably
procordial	precordial
progeression	progression
progession	profession
progresision	progression
progressio	progression
progressionm	progression
progresssion	progression
progresstion	progression
progrssion	progression
proiment	prominent
proiminent	prominent
prologed	prolonged
prololnged	prolonged
prolonation	prolongation
prolond	prolong
prolongaton	prolongation
prolongedand	prolonged and
prolponged	prolonged
promenent	prominent
proment	prominent
promiennt	prominent
promient	prominent
promiment	prominent
promimnent	prominent
prominant	prominent
prominenrt	prominent
prominentq	prominent q
prominet	prominent
promonent	prominent
pronlonged	prolonged
pronoonuced	pronounced
pronouced	pronounced
pronoucned	pronounced
pronouned	pronounced
prorgession	progression
prorgression	progression
proxlad	proximla left anterior descending
proxrca	proximal right coronary artery
prrior	prior
prsent	present
psince	since
psuedofusion	pseudofusion
pthjway	pathway
qrss	QRS
qtinterval	Q interval
qtremains	QT remains
quadrageminy	quadrigeminy
quadrugemini	quadrigeminy
RAA	right atrial abnormality
raet	rate
rapis	rapid
rarre	rare
raster	faster
ratehas	rate has
rateis	rate is
ratre	rare
reamains	remains
reaplaces	replaces
reccent	recent
recentn	recent
reciprocald	reciprocal
recordial	precordial
redcuced	reduced
reflecrt	reflect
relaced	replaced
relted	related
remians	remains
reolaced	replaced
reolarization	repolarization
reolved	resolved
reoplarization	repolarization
repaces	replaces
repalced	replaced
repalces	replaces
repat	repeat
repititive	repetitive
replacd	replace
repladced	replaced
replaecd	replaced
replaed	replaced
replaved	replaced
replced	replaced
repllaces	replaces
reploarization	repolarization
reploarlization	repolarization
reploeration	repolarization
replolarization	repolarization
replorizaion	repolarization
replorization	repolarization
repoalrization	repolarization
repolaization	repolarization
repolariation	repolarisation
repolariazation	repolarization
repolarition	repolarisation
repolarixzation	repolarization
repolarizafion	repolarization
repolarizagtion	repolarization
repolarizaiton	repolarization
repolarizatin	repolarization
repolarizationand	repolarization and
repolarizatoin	repolarization
repolarizatrion	repolarization
repolariztion	repolarization
repolarlization	repolarization
repolartization	repolarization
repolarzation	repolarization
repolatrization	repolarization
repoleration	repolarzation
repoliriation	repolarzation
repolirization	repolarization
repoloarization	repolarization
repololarization	repolarization
repolorization	repolarization
repolrization	repolarization
repolzarization	repolarization
reporlarization	repolarization
represeent	represent
resolvedd	resolved
resolvede	resolved
resolveed	resolved
resopnse	response
resoved	resolved
resovled	resolved
respnse	response
respons	response
restred	restored
retropect	retrospect
reveral	reversal
reveresed	reversed
rfesolved	resolved
rhryhm	rhythm
rhthyhm	rhythm
rhtyhmand	rhythm and
rhtym	rhythm
rhtythm	rhythm
rhyhthm	rhythm
rhyrhtm	rhythm
rhythhm	rhythm
rhythmi	rhythm
rhythmis	rhythmic
rhythmsince	rhythm since
righhtward	rightward
rightaxisdeviation	right axis deviation
rightbundle	right bundle
rightrward	rightward
rightwards	rightward
rightword	rightward
righward	rightward
rigtht	right
rigthward	rightward
rigtward	rightward
rior	prior
roplaced	replaced
rpeolarization	repolarization
rpior	prior
rpolarization	repolarization
rrate	rate
rrght	right
rright	right
rsolved	resolved
rthythm	rhythm
rtracing	tracing
rvcd	right ventricular conducton delay
rwave	R wave
rythum	rhythm
secdonary	secondary
secnd	send
secodnary	secondary
seconary	secondary
secondarly	secondary
seconday	secondary
secondry	secondary
sefment	segment
segements	segments
sequentally	sequentially
sequentian	sequential
setpal	septal
severeal	several
sggested	suggested
shfted	shifted
shievering	shivering
shifed	shifted
shiftedsince	shifted since
shiftred	shifted
shiifted	shifted
shortenend	shortened
shorterned	shortened
shortersince	shorter since
sicne	since
sigificant	significant
siginficant	significant
signficant	significant
signficantly	significantly
signficiant	significant
signfiicant	significant
signfiicantly	significantly
signicant	significant
signif	signficicant
significan	significant
significanty	significantly
significatn	significant
significnat	significant
significnt	significant
signiifcant	significant
sihift	shift
siince	since
siinus	sinus
siknus	sinus
simiilar	similar
simmilar	similar
sinced	since
sinceprior	since prior
sincr	since
sincwe	since
sinificant	significant
sinius	sinus
sinnus	sinus
sinous	sinus
sinse	since
sinsu	sinus
sinsus	sinus
sinua	sinus
sinuds	sinus
sinue	since
sinusbradycardia	sinus bradycardia
sinusl	sinus
sinusn	sinus
sinusrhythm	sinus rhythm
sinve	since
sinys	sinus
sius	sinus
slighlty	slightly
slightlly	slightly
sligtly	slightly
sliight	slight
sllightly	slightly
slowerd	slower
slowert	slower
slowr	slower
slowre	slower
slwer	slower
smaler	smaller
smallersince	smaller since
snce	since
snice	since
solwer	slower
sonsistent	consistent
specfic	specific
specifict	specific
specitic	specific
speficific	specific
spke	spike
spt	since prior tracing
srhythm	rhythm
stabnormalities	abnormalities
stdepression	st depression
stelevation	st elevation
strial	atrial
stttw	st t wave
sttw	st t wave
sttws	st t waves
studythe	study the
subendo	subendocardial
subendocadial	subendocardial
subenodcardial	subendocardial
sublte	subtle
subooptimal	suboptimal
subotimal	suboptimal
suerior	superior
sugest	suggest
sugestive	suggestive
sugges	suggest
suggesive	suggestive
suggestie	suggestive
suggestitve	suggestive
suggestve	suggestive
suggeted	suggested
suggetive	suggestive
supereior	superior
superiior	superior
superiorlateral	superolateral
superor	superior
supraven	supraventricular
supraventircular	supraventricular
supraventricuar	supraventricular
supraventricularrhythm	supraventricular rhythm
supraventricylar	supraventricular
supraventriuclar	supraventricular
suprior	superior
supsect	suspect
susepct	suspect
suspcious	suspicious
suspct	suspect
suspectl	suspect
suspicous	suspicious
sychronous	synchronous
symetrical	symmetrical
symmentrical	symmetrical
symmertric	symmetric
synchoronous	synchronous
tabasubo	Takotsubo
tabnorm	T abnormal
tabnormalites	T abnormalities
tabnormalities	T abnormalities
tachcyardia	tachycardia
tachcyaria	tachycardia
tachycar5dia	tachycardia
tachycarda	tachycardia
tachycardial	tachycardia
tachycardiavs	tachycardias
tachycarduia	tachycardia
tachycaria	tachycardia
tachycaric	tachycardic
tachycarida	tachycardia
tachycarrdia	tachycardia
tachyycardia	tachycardia
tacing	tracing
takasubo	Takotsubo
tarcing	tracing
tatrial	atrial
termainal	terminal
termina	terminal
theqt	the QT
therate	the rate
therehas	there has
througout	throughout
thryhm	rhythm
thye	they
thyrhm	rhythm
tinyu	tiny
traccing	tracing
trachycardia	tachycardia
tracig	tracing
tracign	tracing
traciing	tracing
tracin	tracing
tracingdue	traing due
tracingectopic	tracing ectopic
tracingl	tracing
tracingm	tracing
tracingpr	tracing
tracingrate	tracing rate
tracingthe	tracing the
tracng	tracing
traicing	tracing
traicng	tracing
tranistion	transition
transiation	transition
transiton	transition
transtion	transition
transtition	transition
trasition	transition
traving	tracing
traxing	tracing
trifasicular	trifascicular
trigemany	trigeminy
trigemminy	trigeminy
trigenimy	trigeminy
trracing	tracing
tshifted	shifted
tsince	since
ubderlying	underlying
ubfarct	infarct
uchanged	unchanged
umchanged	unchanged
umnchanged	unchanged
unble	unable
uncerrtain	uncertain
uncertan	uncertain
unchaged	unchanged
unchan	unchanged
unchaned	unchanged
unchangd	unchanged
unchange	unchanged
unchnaged	unchanged
unchnged	unchanged
undelying	underlying
underlyng	underlying
underying	underlying
undeteremined	undetermined
undetermikned	undetermined
undetermkned	undetermined
undewent	underwent
uniterpretable	uninterpretable
unkchanged	unchanged
unmchanged	unchanged
uprgiht	upright
uprgith	upright
vairant	variant
varaiant	variant
varaint	variant
vardiable	variable
varible	variable
varient	variant
varriable	variable
vccompared	compared
VCD	ventricular conduction delay
vcompared	compared
vdentricular	ventricular
vdiffuse	diffuse
venctricular	ventricular
venricular	ventricular
venrticular	ventricular
ventrciarul	ventricular
ventrciular	ventricular
ventrficular	ventricular
ventricdular	ventricular
ventriclar	ventricular
ventriclarly	venticularly
ventricluar	ventricular
ventricuilar	ventricular
ventriculal	ventricular
ventricularly	venticularly
ventricularpremature	ventricular premature
ventricullar	ventricular
ventricuular	ventricular
ventriicular	ventricular
ventrilcular	ventricular
ventriular	ventricular
ventrivcular	ventricular
ventrricular	ventricular
ventrular	ventricular
verntricular	ventricular
vertial	vertical
vetnricular	ventricular
vetricular	ventricular
vevolving	evolving
volatage	voltage
volatages	voltages
volatge	voltage
volatges	voltages
volgtage	voltage
volltage	voltage
voltagde	voltage
voltge	voltage
votage	voltage
vpacing	ventricular pacing
vpbs	ventricular premature beats
vpcc	ventricular premature complex
vpcs	ventricular premature complexes
vtac	ventricular tachycardia
vultage	voltage
vvcompared	compared
vventricular	ventricular
wavce	wave
waveinversion	wave inversion
wavesin	waves in
wavesl	waves
wavess	waves
wavew	waves
wavs	waves
wavss	waves
wavw	wave
wavybaseline	wavy baseline
wenchebach	Wenckebach
wencheback	Wenckebach
wenckabach	Wenckebach
wenckbach	Wenckebach
withhin	within
withintermittent	with intermittent
withprior	with prior
withs	with
witih	with
witn	with
wityh	with
wkth	with
wvae	wave
wvaes	waves
wves	waves
wwave	wave
wwtih	with
SR	sinus rhythm
a.fib	atrial fibrillation
AVB	atriovenricular block
STE	ST elevation
AF/AFL	atrial fibrillation/atrial flutter
AFL	atrial flutter
Afb	atrial fibrillation
AMI	anterior myocardial infarction
APB	atrial premature complex
atrial premature beat	atrial premature complex
atrial premature beats	atrial premature complexes
atrial premature contraction	atrial premature complex
atrial premature contractions	atrial premature complexes
HCM	hypertrophic cardiomyopathy
IMI	inferior myocardial infarction
WCT	Wide-QRS tachycardia
VTACH	ventricular tachycardia
ALMI	anterolateral myocardial infarction
vpc	ventricular premature complex
vpbs	ventricular premature complexes
tw	t wave
twi	t wave inversion
SVT	supraventricular tachycardia
STD	ST depression
RVH	right ventricular hypertrophy
RV	right ventricle
rbb	right bundle branch
rw	R wave
abl	abnormal
abn	abnormal
RAE	right atrial enlargement
P-R	PR
tach	tachycardia
ANT-LAT	anterolateral
ANT-SEPT	anteroseptal
COMPLXS	complexes
INF-LAT	inferolateral
SUPRAVENT	supraventricular
PREDOM	predominantly
A-NONCAPT	atrial noncapture
A-RATE	atrial rate
V-Rate	ventricular rate
prog	progression
SL S2 S3	S1 S2 S3
ASD	atrial septal defect
CNS	central nervous system
a-tach	atrial tachycardia
antero-laterallly	anterolaterally
hemi-block	hemiblock
infero-laterally	inferolaterally
interprete	interpret
NORTH-WEST	northwest
right-ward	rightward
pre-exictation	preexcitation
thru-out	throughout
similiar	similar
sub-optimal	suboptimal
NSTWI	non-ST wave myocardial infarction
Q-wave	Q wave
Q-waves	Q waves
A-activity	atrial activity
ST-ELEVATIONS	ST elevations
age-indeterminant	age-indeterminate
BiV-Paced	biventricular-paced
discernable	discernible
chage	change
interprete	interpret
IVDCD	intraventricular conduction delay
non-capture	noncapture
pre-excited	preexcited
RVICD	right ventricular intraventricular conduction delay
RV-ICD	right ventricular intraventricular conduction delay
R-waves	R waves
non-diagnostic	nondiagnostic
rhythmrhythm	rhythm
R-progression	R wave progression
repsent	represent
T-abnormalities	T abnormalities
wanter	wander
AP-VS	atrial-paced ventricular-sensed
AS-VP	atrial-sensed ventricular-paced
limb-leads	limb leads
counter-clockwise	counterclockwise
shoft	shift
atrial-pacing	atrial pacing
free-wall	free wall
S-wave	S wave
abberntly	aberrantly
A-BiV	atrial-biventricular
afib-flutter	atrial fibrillation atrial flutter
AF-RVR	atrial ibrillation rapid ventricular rate
anterior-lat	anterolateral
anterior-septal	anteroseptal
antero-lat	anterolateral
antero-laterally	anterolaterally
anterolateralT-wave	anterolateral T wave
antero-septal	anteroseptal
ant-lateral	anterolateral
ant-septal	anteroseptal
a-pacng	atrial pacing
A-PAED	atrial paced
A-pasing	atrial pacing
apico-lateral	apicolateral
A-sense	atrial sensed
A-sensed	atrial sensed
A-sensing	atrial sensing
ASMMI	anteroseptal myocardial infarction
atrially-paced	atrial-paced
atrial-sensing	atrial-sensing
atria-sensed	atrial-sensed
Atrila-Ventricular	atrioventricular
atypical-appearing	atypical appearing
back-up	backup
bi-atrial	biatrial
bi-phasic	biphasic
BiVentricular-paced	biventricular paced
bizzare	bizarre
caughing	coughing
comparitive	comparative
CONSISTANT	consistent
couldn	could not
cprrected	corrected
differnt	different
dificult	difficult
dual-biV	dual biventricular
dual-placed	dual-paced
eleavation-	elevation
expecially	especially
fater	faster
fluuter	flutter
inferior-apical	inferoapical
inferior-lat	inferolateral
infero-apical	inferoapical
infero-lat	inferolateral
Infero-posterior	inferoposterior
infero-septal	inferoseptal
inf-lateral	inferolateral
infra-nodal	infranodal
insted	instead
insus	sinus
left-sided	left sided
limb-lead	limb lead
L-ward	leftward
MI-new	myocardial infarction new
Non-conduced	nonconducted
non-conventional	nonconventional
non-diagnositc	nondiagnositc
Non-physiologic	nonphysiologic
Non-scecific	nonspecific
non-selective	nonselective
Non-specifc	nonspecific
non-specifi	nonspecific
Non-speciifc	nonspecific
Non-speficic	nonspecific
non-spoecific	nonspecific
NS-IVCD	nonspecific intraventricular conduction delay
oposite	opposite
ossible	possible
paient	patient
Possibe	possible
POSSIBLITY	possilibity
possiblty	possilibity
possoble	possible
P-QRS	PQRS
Predominately	predominantly
pre-excit	preexcitation
pre-excitat	preexcitation
pre-excitaton	preexcitation
PRE-EXICITATION	preexcitation
pre-operative	preoperativve
preset	present
probabl	probable
rate-depednent	rate dependent
rate-relate	rate related
reiniation	reinitiation
repol-	repolarization
repol-new	repolarization
rste-corrected	rate-corrected
R-transition	R wave transition
R-ward	rightward
ST-depression	ST depression
ST-elevation	ST elevation
STEMI-new	ST elevation myocardial infarction new
ST-Tchanges	ST-T changes
ST-TW	ST T wave
supra-ventricular	supraventricular
take-off	takeoff
T-ave	T wave
tracing-	tracing
traing	tracing
V-apcing	V-pacing
Wenkebach-	Wenckebach
wihtout	without
bi- atrial	biatrial
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	determine
